questionText,options[0],options[1],options[2],options[3],correctAnswer
Which is the national flower of Grenada _______ ?,A. Bougainvillea,B. Cornflower,C. Red Rose,D. Monja Blanca,A. Bougainvillea
Which is the national flower of Croatia ________ ?,A. White Mariposa,B. Iris Croatica,C. Tudor Rose,D. Rose,B. Iris Croatica
Who is the author of the book ” Tools and Weapons:The Promise and The Peril of the Digital Age”?,A. Jeff Bezos,B. Sundar Pichai,C. Brad Smith,D. Satya Nedella,C. Brad Smith
When did World Day Against Trafficking in Persons celebrate?,A. 31st July,B. 30th July,C. 29th July,D. 28th July,B. 30th July
Which is the national flower of “Bhutan” ?,A. Simpoh Ayer,B. Blue Poppy,C. Rumdul,D. Copihue,B. Blue Poppy
Which is the national flower of Austria ?,A. Edelweiss,B. Red Poppy,C. Black Orchid,D. Blue-Eyed Grass,A. Edelweiss
What was the total members of East Asia Summit (EAS) in its inaugural summit held in Kuala Lumpur on 14 December 2005.,A. 12 members,B. 14 members,C. 18 members,D. 22 members,C. 18 members
Pakistan is a member of the APG Asia Pesific Group since_________. APG is a regional body of Paris-based FATF of the United Nations.,A. 1999,B. 2000,C. 2003,D. 2004,B. 2000
Who is known as Man of Blood and Iron ___________?,A. Sir Walter Soctt,B. Napoleon,C. Bismarck,D. Ho chi Minh,C. Bismarck
Which is the national flower of Jordan?,A. Red Rose,B. Cherry Blossom,C. Black Iris,D. White Iris,C. Black Iris
Court language during Ranjit Singh regime was___________?,A. Persian,B. Punjabi,C. Urdu,D. None,A. Persian
Ema is an example of _________?,A. Active Volcano,B. Plateau in a volcano,C. Extinct Volcano,D. Dormant Volcano,A. Active Volcano
The place of origin of an earthquake is called___________?,A. Seismic focus,B. Seismal,B. Epicenter,D. Amphidromic Point,A. Seismic focus
Name the Continents that form a mirror image of each other__________?,A. North America and South America,B. Africa and South America,C. Asia and Africa,D. Europe and Asia,B. Africa and South America
People who are called wasps have ancestors from which country_____________?,A. America,B. Spain,C. England,D. Persia,C. England
Volcanoes occur at tectonic plate boundaries that are ________?,A. Convergent,B. Divergent,C. Both A & B,D. Destructive,C. Both A & B
Black Forest is the name of mountain present in______________?,A. USA,B. Russia,C. Canada,D. None of these,D. None of these
Which one of the following seas is without a coastline?,A. Sargasso sea,B. Tasman sea,C. White sea,D. Sea of Okhotsk,A. Sargasso sea
Latitude of place is indicative of its_____________?,A. Time,B. Altitude,C. Temperature,D. Amount of rainfall,C. Temperature
Sargasso Sea is located in___________?,A. North Pacific Ocean,B. North Atlantic Ocean,C. South Atlantic Ocean,D. None of these,B. North Atlantic Ocean
The Sun reaches its Maximum Angular distance from the equator at the__________?,A. Equinox,B. Zenith,C. Solstice,D. Noontime,C. Solstice
Eskimos are the primitive people living in___________?,A. South America,B. Western Europe,C. Central Africa,D. North America,D. North America
The Peloponnesian War’ was fought between ____________ and _________?,A. Sparta and Iran,B. Sparta and Athens,C. Athens and Iran,D. Athens and Asia Minor,B. Sparta and Athens
"The imaginary line on the surface of earth which closely follows the 180° meridian, is called__________ ?",A. Equator,B. Prime Meridian,C. International Date Line,D. None of these,C. International Date Line
Child Labour is the main theme in most of the novels of____________?,A. D.H Lawrence,B. Leo Tolstoy,C. Maxim Gorky,D. Charles Dickens,C. Maxim Gorky
Russia withdrew from Afghanistan under the ___________?,A. Islamabad treaty,B. Kabul pact,C. Geneva Accord,D. Moscow Agreement,C. Geneva Accord
Which international arbitration institution fined Pakistan in Reko Diq mining case?,A. International Court of Arbitration,B. London Court of International Arbitration,C. International Centre for Settlement of Investment Disputes,D. None of these,C. International Centre for Settlement of Investment Disputes
When did Aurangzeb Alamgir died?,A. 1627,B. 1657,C. 1658,D. 1707,D. 1707
Who was the last king of the Bahmani empire _______?,A. Kalim-Allah Shah,B. Aladdin Shah,C. Ahmad Shah III,D. Wali-Allah Shah,A. Kalim-Allah Shah
Which is the national flower of Angola ?,A. Welwitschia,B. Narcissus,C. Red Poppy,D. Black Orchid,A. Welwitschia
Which is the national game of Turkey ?,A. Oil Wrestling,B. Sumo wrestling,C. Alpine Skiing,D. Golf,A. Oil Wrestling
Which one of the following ecosystems covers the largest area of the earth’s surface?,A. Grassland Ecosystem,B. Mountain Ecosystem,C. Marine Ecosystem,D. Desert Ecosystem,C. Marine Ecosystem
Mt. Ararat is the highest peak of__________?,A. Chile,B. Turkey,C. Britain,D. North Korea,B. Turkey
Where is the largest Coral Reef located?,A. Canada,B. U.K,C. Australia,D. Germany,C. Australia
Name the World famous and finest Harbour?,A. Calcutta,B. Mumbai,C. Sydney,D. New York,C. Sydney
Which layer of the atmosphere reflects radio waves back to the earth’s surface?,A. Troposphere,B. Stratosphere,C. Ozone layer,D. Ionosphere,D. Ionosphere
Loire is the longest river of____________?,A. France,B. Russia,C. UK,D. None,A. France
“Sense and Sensibility” was written by:____________?,A. Shakespeare’s,B. Jhon Milton,C. Jane Austen,D. Methew Arnold,C. Jane Austen
The World Day for International Justice (WDIJ) is observed every year on _________?,A. 16 July,B. 17 July,C. 18 July,D. 19 July,B. 17 July
IPCC is the abbreviation for___________?,A. International Program on Climate Climate,B. International Panel on Collective Change,C. Intergovernmental Panel on Climate Change,D. International Panel on Collective Climate,C. Intergovernmental Panel on Climate Change
Which from the following countries has no Armed Forces?,A. Niger,B. Nigeria,C. Iceland,D. Latvia,C. Iceland
The Book “Higher than Hopes” is a biography of __________ ?,A.Nelson Mandela,B. Henry S. Commager,C. Bill Clinton,D. Mother Terasa,A.Nelson Mandela
The Book “Long Walk to Freedom” is written by __________ ?,A. Nelson Mandela,B. Henry S. Commager,C. Bill Clinton,D. Mother Terasa,A. Nelson Mandela
Channel Tunnel is an Under Sea Rail Tunnel that linked ___________ ?,A. America and Mexico,B. England and France,C. France and Germany,D. England and Germany,B. England and France
Al-Tahrir Square is in ___________?,"A. Damascus, Syria","B.Cairo, Egypt","C. Tripoli, Libya","D. İstanbul, Turkey","B.Cairo, Egypt"
International Day of Diplomats is celebrated on____________?,A. 20 October,B. 24 October,C. 28 October,D. 31 October,B. 24 October
How many pairs of ribs are there in Human Body___________?,A. 12,B. 13,C. 11,D. none of these,A. 12
Franc is the currency of___________?,A. Rwanda,B. Malagasy,C. Burundi,D. All of them,D. All of them
Hindenburg line divides____________?,A. Germany and Poland,B. Germany and France,C. South Vietnam and North Vietnam,D. None of the above,A. Germany and Poland
The International Court of Justice is located in _________?,A. New York,B. Washigton,C. Geneva,D. The Hague,D. The Hague
Which Team did not Win a single Match in ICC Cricket World Cup 2019?,A. Sri Lanka,B. West Indies,C. Afghanistan,D. None of These,C. Afghanistan
Who is the Highest Run Scorer of ICC Cricket World Cup 2019?,A. Kane Williamson,B. Shakib Al Hasan,C. David Warner,D. Rohit Sharma,D. Rohit Sharma
How many times England won the ICC World Cup?,A. One time,B. Two Times,C. Three Times,D. Four Times,A. One time
Which Country leads the world in Wind Energy?,A. America,B. Japan,C. China,D. None of the these,C. China
The period in which the Suez Canal remained closed after Arab-Israel war____________?,A. 1967-1973,B. 1967-1975,C. 1967-1977,D. 1967-1979,B. 1967-1975
The Chapultepec Castle is located in___________?,A. Indonesia,B. Egypt,C. South Africa,D. Mexico,D. Mexico
"Borobudur, a UNESCO World Heritage Site is located in__________?",A. Indonesia,B. Egypt,C. South Africa,D. South Korea,A. Indonesia
Which country is completely surrounded by South Africa?,A. Gabon,B. Laos,C. Lesotho,D. Niue,C. Lesotho
The Komodo dragons are found in___________?,A. Indonesia,B. Maldives,C. South Africa,D. Egypt,A. Indonesia
Kansai International Airport on an artificial island is located in________?,A. China,B. Japan,C. South Korea,D. North Korea,B. Japan
Ross Island in the Ross Sea is located near_________?,A. Greenland,B. Norway,C. Continent of Antarctica,D. Continent of Australia,C. Continent of Antarctica
Mohs’ Scale” is used to indicate the_________?,A. Degree of hardness of minerals,B. Degree of viscosity of a liquid,C. Degree of elasticity of a material,D. Degree of brittleness of a substance,A. Degree of hardness of minerals
Which treaty provides for a common currency for European Community____________?,A. Treaty of Versailles,B. Geneva Convention,C. Brussels Treaty,D. Maastricht Treaty,D. Maastricht Treaty
Which of the following canals is considered to be an important link between the developed countries and the developing countries__________?,A. Panama Canal,B. Suez Canal,C. Kiel Canal,D. Grand Canal,B. Suez Canal
Gimpo airport is situated in__________?,A. Russia,B. Japan,C. South Korea,D. Germany,C. South Korea
Synagogue is place of worship of which religion?,A. Confucianism,B. Judaism,C. Shintoism,D. Buddhism,B. Judaism
Author of the book “The Making of Modern Sindh” is____________?,A. Rasool Bux Palijo,B. Ibrahim Joyo,C. Hamida Khuhro,D. Amar Jalil,C. Hamida Khuhro
The Battle of Halani was fought in___________?,A. 1712,B. 1748,C. 1762,D. 1782,D. 1782
Which style of painting was used by early Renaissance artists_______?,A. Gothic,B. Graeco-Roman,C. Catholic Art,D. None of these,B. Graeco-Roman
The science of lightning is called___________?,A. Aerology,B. Meteorology,C. Electeorology,D. Fulminology,D. Fulminology
Who was Bismarck?,A. German Navy Destroyer,B. German Politician and statesman,C. Orator,D. German Novelist,B. German Politician and statesman
The first private tourist of the space was___________?,A. Shuttle Worth,B. Larry Swanson,C. Dennis Tito,D. None of these,C. Dennis Tito
Who provided proof to suggest that the earth was spherical?,A. David Encaston,B. Francis Columbus,C. Ferdinand Magellan,D. None of these,C. Ferdinand Magellan
Tower of Silence is___________?,A. Cemetery in London built in the memory of dead of IInd World War.,"B. Arlington National Cemetery, Washington, D.C. U.S.A.",C. Place where dead remains of followers of Zoroastrian are placed after funeral rituals.,D. Another name of Eiffel Tower.,C. Place where dead remains of followers of Zoroastrian are placed after funeral rituals.
Who was the founder of Lodhi dynasty of India (1451-1526)?,A. Ibrahim Lodhi,B. Bahlul Khan Lodhi,C. Skindar Lodhi,D. None of these,B. Bahlul Khan Lodhi
Which is smallest state in Asia?,A. Bahrain,B. Malta,C. Maldives,D. Brunei,C. Maldives
International day to end impunity for crimes against journalists observed every year on_________?,A. 1 November,B. 2 November,C. 3 November,D. 4 November,B. 2 November
When was the border disputes settled between the US and Mexico?,A. 1960,B. 1970,C. 1975,D. 1980,B. 1970
How many US states border the Gulf of Mexico?,A. 3,B. 5,C. 9,D. 13,B. 5
Fidel Castro was the president of___________?,A. Spain,B. Poland,C. Cuba,D. South Africa,C. Cuba
Dampier is the seaport of____________?,A. Australia,B. Denmark,C. Dublin,D. Italy,A. Australia
Which city is called as ‘Queen of Adriatic’?,A. Rome,B. Paris,C. London,D. Venice,D. Venice
"Which Country from following, having No border line with Afghanistan?",A. Turkemanistan,B. Kyrgyzstan,C. Tajikistan,D. Uzbekistan,B. Kyrgyzstan
“Big Apple” is a nickname of___________?,A. Canada,B. New York,C. China,D. Russia,B. New York
A bird that can fly backwards?,A. Bat,B. Humming Bird,C. Crimson Sun Bird,D. Cardinal Bird,B. Humming Bird
"Gwadar became part of Pakistan on September 8,____________?",A. 1949,B. 1955,C. 1958,D. 1972,C. 1958
"The largest Island in the world is Greenland, which is largest Island in Indian Ocean?",A. Borneo,B. Madagascar,C. Java,D. Sunda,B. Madagascar
Through which one of the following countries the equator does not pass?,A. Zaire (Congo),B. Kenya,C. Uganda,D. Tanzania,D. Tanzania
“Last Judgement” is the famous painting of___________?,A. Rembrandt,B. Michel Angelo,C. Pablo Picasso,D. Leonardo de Vinci,B. Michel Angelo
What is the range of panama canal ?,A. 82 km,B. 90 km,C. 100 km,D. 120 km,A. 82 km
Who was the first Chairman of Pakistan atomic energy commission?,A. Dr. I.H. Usmani,B. Dr. Muhammad Abdus salam,C. Dr Nazeer Ahmed,D. Mr. Saleem Mehmud,C. Dr Nazeer Ahmed
"Pakistan Space and Upper Atmosphere Research Commission (SUPARCO), the national space agency, was established in 1961 as a Committee and was granted the status of a Commission in 1981.Who led the foundation of SUPARCO?",A. Dr. I.H Usmani,B. Dr Sibte nabi Naqvi,C. Dr. Abdus Salam,D. Dr. Saleem-uzaman Siddique,C. Dr. Abdus Salam
"During its 74th Plenary Meeting, the United Nations (UN) General Assembly 72nd Session has proclaimed 2019 as the International Year of the____________?",A. Climate Change,B. Forest Conservation,C. Cancer,D. Periodic table of chemical elements,D. Periodic table of chemical elements
Whose sword was named ” Excalibur”?,A. King James’,B. Sir Lancelot’s,C. Sir Mexalot’s,D. King Arthur’s,D. King Arthur’s
What is human body’s largest organ according to 2018 discovery?,A. Skin,B. Liver,C. Interstitium,D. None,C. Interstitium
Which vegetable is Toxic For Dogs?,A. Onion,B. Carrot,C. Peas,D. Potato,A. Onion
On which continent do Jaguars live?,A. Australia,B. America,C. Europe,D. Antarctica,B. America
"Which U.S President said, “I am not a crook.”",A. Ford,B. Nixon,C. Kenndy,D. Clinton,B. Nixon
Suez Canal was nationalized in July 1956 by Egypt’s President Gamal Abdul Nasser. In which year Suez Canal was constructed ?,A. 1859,B. 1869,C. 1879,D. 1889,B. 1869
Rabat is the capital of____________?,A. Peru,B. Surinam,C. Bolivia,D. Morocco,D. Morocco
Which city is called the ‘City of Palaces’ ?,A. Geneva,B. Cairo,C. Rome,D. Mexico City,D. Mexico City
Which language has maximum number of alphabet letters?,A. Sindhi,B. French,C. Persian,D. Cambodian,D. Cambodian
"Khudadad Khan was the first South Asian (Pakistani from chakwal) soldier in Indian-British Army to receive the highest military award for gallantry, the Victoria Cross, during First World War. In which country was he fighting due to that he earned Victoria Cross ?",A. Austria,B. France,C. Belgium,D. Germany,C. Belgium
Gaddani Beach is located in___________?,A. Balochistan,B. Sindh,C. KPK,D. Punjab,A. Balochistan
The founder of ‘Zamindar’ (newspaper) was ___________?,A. Ch Rahmat Ali,B. Allama Iqbal,C. Maulana Zafar Ali Khan,D. Maulana M Ali Johar,C. Maulana Zafar Ali Khan
Which of the following Englishmen was honored by Mughal king Jahangir with the title of Khan?,A. Vasco Da Gama,B. William Hawkins,C. Sir Thomas Rose,D. John Watts,B. William Hawkins
Mirani Dam is located on which river?,A. Bolan,B. Jhelum,C. Dashat,D. Hub,C. Dashat
The “Emergence of Pakistan” book is written by______________?,A. Ch Muhammad Ali,B. Ch Najib,C. K K Aziz,D. Ayesha Jalal,A. Ch Muhammad Ali
In which year Cricket World Cup was started?,A. 1979,B. 1975,C. 1974,D. 1983,B. 1975
When Pakistan established its first Atomic Energy Commission?,A. 1950,B. 1955,C. 1956,D. 1960,C. 1956
When did Qutub-ud-din Aibak die?,A. October 1208,B. November 1209,C. December 1210,D. July 1206,C. December 1210
Which is the national flower of “Bermuda” ?,A. Simpoh Ayer,B. Blue-Eyed Grass,C. Black Orchid,D. Rose,B. Blue-Eyed Grass
How many times the sun is bigger than the size of the earth?,A. 69 times,B. 89 times,C. 99 times,D. 109 times,D. 109 times
The first-ever World Food Safety Day (WFSD) has officially observed on which date __________?,A. 7 June 2019,B. 8 June 2019,C. 9 June 2019,D. 10 June 2019,A. 7 June 2019
